Rank,PoS
1742,adv
1743,verb
1744,noun
1745,verb
1746,verb
1747,noun
1748,noun
1749,adj
1750,noun
1751,adv
1752,adv
1753,verb
1754,adj
1755,noun
1756,noun
1757,verb
1758,verb
1759,noun
1760,noun
1761,adj
1762,noun
1763,noun
1764,noun
1765,noun
1766,adv
1767,noun
1768,adj
1769,noun
1770,adv
1771,verb
1772,adj
1773,verb
1774,noun
1775,verb
1776,noun
1777,adj
1778,adj
1779,adj
1780,adj
1781,noun
1782,verb
1783,adj
1784,verb
1785,noun
1786,verb
1787,noun
1788,noun
1789,verb
1790,adj
1791,noun
1792,adj
1793,noun
1794,noun
1795,adj
1796,adv
1797,noun
1798,verb
1799,noun
1800,adj
1801,noun
1802,noun
1803,adj
1804,adj
1805,noun
1806,noun
1807,noun
1808,verb
1809,verb
1810,noun
1811,adj
1812,verb
1813,noun
1814,noun
1815,verb
1816,verb
1817,noun
1818,adj
1819,adj
1820,noun
1821,verb
1822,adj
1823,adv
1824,intj
1825,adj
1826,noun
1827,noun
1828,noun
1829,adj
1830,noun
1831,noun
1832,noun
1833,noun
1834,noun
1835,noun
1836,adj
1837,noun
1838,verb
1839,noun
1840,adv
1841,adv
1842,verb
1843,noun
1844,adj
1845,verb
1846,noun
1847,adj
1848,noun
1849,verb
1850,noun
1851,verb
1852,noun
1853,noun
1854,verb
1855,adj
1856,noun
1857,noun
1858,adv
1859,noun
1860,noun
1861,noun
1862,noun
1863,noun
1864,adj
1865,verb
1866,noun
1867,noun
1868,noun
1869,noun
1870,verb
1871,adj
1872,verb
1873,noun
1874,noun
1875,noun
1876,verb
1877,verb
1878,verb
1879,adj
1880,noun
1881,adv
1882,noun
1883,adj
1884,verb
1885,adj
1886,adv
1887,verb
1888,adj
1889,noun
1890,adj
1891,verb
1892,adj
1893,adj
1894,noun
1895,verb
1896,adj
1897,adv
1898,noun
1899,verb
1900,adv
1901,noun
1902,noun
1903,noun
1904,noun
1905,noun
1906,noun
1907,noun
1908,noun
1909,noun
1910,verb
1911,adj
1912,verb
1913,verb
1914,adv
1915,noun
1916,adj
1917,verb
1918,adj
1919,noun
1920,noun
1921,adj
1922,verb
1923,verb
1924,noun
1925,noun
1926,adj
1927,noun
1928,verb
1929,noun
1930,adj
1931,verb
1932,noun
1933,verb
1934,verb
1935,verb
1936,noun
1937,noun
1938,adj
1939,noun
1940,adj
1941,adv
1942,adv
1943,noun
1944,adv
1945,adj
1946,noun
1947,noun
1948,noun
1949,noun
1950,noun
1951,noun
1952,adv
1953,verb
1954,noun
1955,noun
1956,verb
1957,verb
1958,noun
1959,adj
1960,noun
1961,adj
1962,adj
1963,verb
1964,noun
1965,noun
1966,adv
1967,adj
1968,noun
1969,noun
1970,verb
1971,noun
1972,verb
1973,adj
1974,verb
1975,adj
1976,noun
1977,noun
1978,verb
1979,noun
1980,verb
1981,adj
1982,noun
1983,noun
1984,noun
1985,noun
1986,noun
1987,noun
1988,noun
1989,noun
1990,noun
1991,verb
1992,noun
1993,noun
1994,verb
1995,adj
1996,verb
1997,noun
1998,adj
1999,noun
2000,verb
2001,verb
2002,noun
2003,noun
2004,adv
2005,noun
2006,noun
2007,noun
2008,noun
2009,noun
2010,adv
2011,noun
2012,noun
2013,noun
2014,noun
2015,noun
2016,adv
2017,noun
2018,adv
2019,noun
2020,noun
2021,adj
2022,noun
2023,adj
2024,noun
2025,noun
2026,noun
2027,noun
2028,noun
2029,noun
2030,noun
2031,noun
2032,noun
2033,adj
2034,verb
2035,adj
2036,noun
2037,adv
2038,noun
2039,noun
2040,adj
2041,noun
2042,noun
2043,noun
2044,verb
2045,verb
2046,noun
2047,adj
2048,adj
2049,noun
2050,adv
2051,verb
2052,noun
2053,noun
2054,noun
2055,noun
2056,noun
2057,noun
2058,noun
2059,noun
2060,noun
2061,noun
2062,verb
2063,noun
2064,noun
2065,noun
2066,verb
2067,adj
2068,verb
2069,noun
2070,adv
2071,noun
2072,noun
2073,noun
2074,noun
2075,adj
2076,adj
2077,verb
2078,verb
2079,noun
2080,verb
2081,adj
2082,adj
2083,adj
2084,noun
2085,verb
2086,verb
2087,noun
2088,noun
2089,verb
2090,verb
2091,adj
2092,adv
2093,noun
2094,noun
2095,noun
2096,adj
2097,verb
2098,verb
2099,noun
2100,verb
2101,verb
2102,noun
2103,verb
2104,verb
2105,adv
2106,noun
2107,noun
2108,verb
2109,adj
2110,noun
2111,noun
2112,noun
2113,prep
2114,verb
2115,noun
2116,noun
2117,adv
2118,verb
2119,noun
2120,verb
2121,adj
2122,verb
2123,adj
2124,adj
2125,adv
2126,noun
2127,adj
2128,verb
2129,noun
2130,noun
2131,noun
2132,verb
2133,verb
2134,verb
2135,noun
2136,noun
2137,verb
2138,verb
2139,noun
2140,noun
2141,adv
2142,noun
2143,noun
2144,adv
2145,noun
2146,noun
2147,adv
2148,noun
2149,adj
2150,adj
2151,noun
2152,adv
2153,noun
2154,verb
2155,adv
2156,adj
2157,noun
2158,noun
2159,noun
2160,verb
2161,verb
2162,noun
2163,noun
2164,noun
2165,noun
2166,noun
2167,noun
2168,noun
2169,noun
2170,noun
2171,noun
2172,verb
2173,noun
2174,noun
2175,noun
2176,noun
2177,noun
2178,noun
2179,noun
2180,noun
2181,noun
2182,noun
2183,adj
2184,noun
2185,noun
2186,adv
2187,noun
2188,adj
2189,adj
2190,noun
2191,noun
2192,noun
2193,noun
2194,verb
2195,verb
2196,verb
2197,adj
2198,adj
2199,noun
2200,noun
2201,verb
2202,noun
2203,noun
2204,adj
2205,verb
2206,verb
2207,adj
2208,adv
2209,noun
2210,adj
2211,noun
2212,noun
2213,noun
2214,noun
2215,noun
2216,adj
2217,noun
2218,noun
2219,noun
2220,verb
2221,noun
2222,noun
2223,noun
2224,noun
2225,adj
2226,noun
2227,noun
2228,noun
2229,adj
2230,verb
2231,noun
2232,noun
2233,adj
2234,verb
2235,verb
2236,adj
2237,noun
2238,verb
2239,adj
2240,noun
2241,verb
2242,noun
2243,noun
2244,adj
2245,adv
2246,verb
2247,adj
2248,noun
2249,adj
2250,noun
2251,noun
2252,noun
2253,adj
2254,noun
2255,adv
2256,noun
2257,noun
2258,verb
2259,noun
2260,noun
2261,adj
2262,adj
2263,adj
2264,noun
2265,noun
2266,verb
2267,adj
2268,adv
2269,noun
2270,verb
2271,verb
2272,noun
2273,noun
2274,adj
2275,verb
2276,adv
2277,adj
2278,noun
2279,verb
2280,noun
2281,adj
2282,noun
2283,noun
2284,verb
2285,noun
2286,noun
2287,adv
2288,noun
2289,noun
2290,noun
2291,noun
2292,noun
2293,noun
2294,verb
2295,verb
2296,noun
2297,noun
2298,noun
2299,verb
2300,noun
2301,verb
2302,verb
2303,verb
2304,noun
2305,noun
2306,adj
2307,adj
2308,verb
2309,verb
2310,noun
2311,noun
2312,adj
2313,adv
2314,verb
2315,noun
2316,noun
2317,adj
2318,noun
2319,noun
2320,verb
2321,noun
2322,noun
2323,verb
2324,verb
2325,adj
2326,verb
2327,noun
2328,noun
2329,verb
2330,verb
2331,verb
2332,verb
2333,verb
2334,adj
2335,verb
2336,noun
2337,noun
2338,noun
2339,noun
2340,adv
2341,adj
2342,noun
2343,verb
2344,noun
2345,verb
2346,adj
2347,noun
2348,noun
2349,noun
2350,noun
2351,adj
2352,noun
2353,adj
2354,noun
2355,verb
2356,adj
2357,noun
2358,noun
2359,noun
2360,adj
2361,adj
2362,adj
2363,adj
2364,noun
2365,adj
2366,adj
2367,noun
2368,noun
2369,noun
2370,verb
2371,noun
2372,noun
2373,verb
2374,noun
2375,verb
2376,noun
2377,noun
2378,noun
2379,verb
2380,noun
2381,noun
2382,adj
2383,noun
2384,noun
2385,noun
2386,noun
2387,adj
2388,verb
2389,verb
2390,verb
2391,noun
2392,prep
2393,noun
2394,verb
2395,noun
2396,adj
2397,verb
2398,verb
2399,verb
2400,noun
2401,verb
2402,noun
2403,verb
2404,verb
2405,verb
